Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Louth,Derry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Louth,Down,5.0,6.0,3.0,8.0,1.0,11.0,12.0,20.0,19.0,35.0,27.0,25.0,30.0,54.0,57.0,82.0,62.0,39.0,0,0,0
Louth,Fermanagh,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0,0,0
Louth,Tyrone,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,0,0,0
Louth,Origin unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Westmeath,All counties (2),2994.0,3099.0,3232.0,3325.0,3427.0,3225.0,3343.0,2962.0,2756.0,2868.0,3288.0,3468.0,3394.0,3473.0,3559.0,3627.0,3436.0,3241.0,0,0,0
Westmeath,Carlow,8.0,14.0,8.0,4.0,5.0,5.0,6.0,11.0,5.0,8.0,8.0,13.0,13.0,15.0,19.0,15.0,11.0,14.0,0,0,0
Westmeath,Dublin,123.0,121.0,87.0,70.0,62.0,61.0,62.0,56.0,39.0,51.0,49.0,52.0,63.0,80.0,101.0,106.0,95.0,111.0,0,0,0
Westmeath,Kildare,82.0,72.0,87.0,71.0,66.0,51.0,54.0,41.0,43.0,39.0,41.0,46.0,52.0,62.0,73.0,72.0,77.0,78.0,0,0,0
Westmeath,Kilkenny,14.0,13.0,11.0,15.0,5.0,6.0,7.0,12.0,10.0,12.0,7.0,4.0,12.0,19.0,20.0,18.0,19.0,17.0,0,0,0
Westmeath,Laois,86.0,86.0,85.0,84.0,99.0,88.0,101.0,98.0,88.0,105.0,103.0,90.0,118.0,123.0,123.0,107.0,90.0,92.0,0,0,0
Westmeath,Longford,183.0,221.0,226.0,211.0,236.0,203.0,238.0,214.0,216.0,220.0,254.0,273.0,280.0,259.0,268.0,282.0,235.0,215.0,0,0,0
Westmeath,Louth,21.0,26.0,28.0,40.0,32.0,21.0,23.0,12.0,12.0,11.0,19.0,15.0,20.0,25.0,29.0,26.0,27.0,24.0,0,0,0
Westmeath,Meath,158.0,157.0,163.0,166.0,162.0,138.0,122.0,104.0,79.0,84.0,95.0,95.0,106.0,122.0,110.0,119.0,120.0,122.0,0,0,0
Westmeath,Offaly,358.0,372.0,425.0,441.0,426.0,393.0,441.0,406.0,360.0,359.0,415.0,493.0,531.0,543.0,574.0,592.0,574.0,491.0,0,0,0
